id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000054300,01,湯ノ川遺跡,ゆのかわいせき,湯ノ川遺跡,北海道 函館市 湯川町一丁目,41.777156,140.782725,施設,史跡・文化財・遺跡,遺跡
010000054600,01,天使の聖母トラピスチヌ修道院,てんしのせいぼとらぴすちぬしゆうどういん,天使の聖母トラピスチヌ修道院,北海道 函館市 上湯川町,41.787985,140.822618,施設,埋葬・信仰・宗教施設,教会
010000056800,01,志苔館跡,しのりたてあと,志苔館跡,北海道 函館市 志海苔町,41.765778,140.822147,施設,史跡・文化財・遺跡,建築物・住宅
010000057200,01,石倉貝塚,いしくらかいづか,石倉貝塚,北海道 函館市 中野町,41.770441,140.841220,施設,古墳・貝塚,貝塚
010000057300,01,中野Ａ遺跡・中野Ｂ遺跡,なかのえーいせき・なかのびーいせき,中野Ａ遺跡・中野Ｂ遺跡,北海道 函館市 中野町,41.770441,140.841220,施設,史跡・文化財・遺跡,遺跡
010000057500,01,妙応寺,みようおうじ,妙応寺,北海道 函館市 石崎町320番地,41.752357,140.886307,施設,埋葬・信仰・宗教施設,寺院
010000057600,01,勝願寺,しようがんじ,勝願寺,北海道 函館市 石崎町600番地,41.753696,140.883530,施設,埋葬・信仰・宗教施設,寺院
010000058300,01,亀田八幡宮,かめだはちまんぐう,亀田八幡宮,北海道 函館市 八幡町3番2号,41.790520,140.736664,施設,埋葬・信仰・宗教施設,神社
010000058400,01,五稜郭跡,ごりようかくあと,五稜郭跡,北海道 函館市 五稜郭町,41.796925,140.756784,施設,城・軍事施設,洋式城郭
010000058800,01,サイベ沢遺跡,さいべざわいせき,サイベ沢遺跡,北海道 函館市 西桔梗町,41.841941,140.718518,施設,史跡・文化財・遺跡,遺跡
010000059300,01,北海道東照宮,ほつかいどうとうしようぐう,北海道東照宮,北海道 函館市 陣川町82番地153,41.838558,140.785324,施設,埋葬・信仰・宗教施設,神社
010000059400,01,四稜郭,しりようかく,四稜郭,北海道 函館市 陣川町,41.825660,140.770617,施設,城・軍事施設,洋式城郭
010000061100,01,福山城跡,ふくやまじようあと,福山城跡,北海道 松前郡松前町 字松城,41.430099,140.107683,施設,城・軍事施設,城跡
010000061600,01,徽典館跡,きてんかんあと,徽典館跡,北海道 松前郡松前町 字松城,41.430099,140.107683,施設,史跡・文化財・遺跡,建築物・住宅
010000061800,01,福山沖之口役所跡,ふくやまおきのくちやくしよあと,福山沖之口役所跡,北海道 松前郡松前町 字松城,41.430099,140.107683,施設,史跡・文化財・遺跡,史跡・文化財
010000062200,01,法幢寺,ほうとうじ,法幢寺,北海道 松前郡松前町 字松城307番地,41.431992,140.106644,施設,埋葬・信仰・宗教施設,寺院
010000062400,01,法源寺,ほうげんじ,法源寺,北海道 松前郡松前町 字松城341番地,41.431908,140.107727,施設,埋葬・信仰・宗教施設,寺院
010000062500,01,龍雲院,りゆううんいん,龍雲院,北海道 松前郡松前町 字松城305番地,41.431290,140.107086,施設,埋葬・信仰・宗教施設,寺院
